1 1.41421  0.346574
2 0.76495  0.0393142
3 1.01478  0.0310991
4 1.93693  0.1886
5 2.46995  0.33172
6 2.40048  0.422378
7 1.69973  0.43782
8 0.650088  0.329262
9 0.689594  0.251382
10 1.57055  0.271386
11 2.48579  0.329496
12 2.41768  0.375605
13 1.71346  0.388137
14 0.647646  0.329383
15 0.674505  0.281173
16 1.5123  0.289451
17 2.4927  0.326152
18 2.46893  0.358243
19 1.93934  0.374248
20 0.646903  0.333758
21 0.637309  0.296412
22 0.593527  0.259227
23 1.91767  0.276265
24 2.58975  0.304402
25 2.61652  0.3307
26 2.61747  0.354989
27 2.61658  0.377466
28 2.60977  0.398244
29 2.56346  0.416972
30 2.26678  0.430352
31 1.00989  0.416787
32 0.707414  0.392946
33 0.701134  0.370279
34 1.93235  0.378763
35 2.56557  0.394861
36 2.57596  0.410176
37 2.42574  0.42304
38 1.60154  0.424301
39 0.65887  0.402724
40 0.628716  0.381054
41 1.49177  0.381515
42 2.50721  0.394316
43 2.51146  0.406562
44 2.1258  0.414461
45 0.782345  0.399796
46 0.703355  0.383455
47 0.67802  0.367029
48 1.97506  0.373562
49 2.58275  0.385302
50 2.60656  0.396757
51 2.57828  0.407548
52 2.38351  0.416414
53 1.39583  0.41485
54 0.671187  0.399784
55 0.522194  0.380702
56 0.891774  0.371858
57 2.31859  0.380088
58 2.37394  0.388441
59 1.49089  0.388626
60 0.667534  0.375413
61 0.620156  0.361426
62 1.48921  0.36202
63 2.42294  0.370321
64 2.12607  0.37632
65 0.835274  0.367762
66 0.706511  0.356926
67 0.555519  0.342824
68 1.41515  0.342889
69 2.34423  0.350267
70 1.89222  0.354374
71 0.645844  0.343225
72 0.656764  0.332619
73 0.865894  0.32609
74 2.30823  0.332987
75 2.56256  0.341094
76 2.43776  0.348331
77 1.6925  0.350641
78 0.650138  0.340625
79 0.651832  0.330896
80 1.49093  0.331752
81 2.51625  0.339049
82 2.55567  0.346357
83 2.35832  0.352521
84 1.3587  0.351973
85 0.674773  0.343204
86 0.526333  0.331751
87 0.949686  0.327344
88 2.31691  0.333172
89 2.1898  0.338236
90 0.93623  0.333745
91 0.706999  0.326268
92 0.586187  0.316916
93 1.4912  0.317804
94 2.34834  0.323506
95 1.88417  0.326769
96 0.64504  0.318798
97 0.659638  0.311222
98 0.908847  0.307071
99 2.33306  0.312526
100 2.54696  0.31875
101 2.35701  0.324083
102 1.36756  0.323975
103 0.674605  0.317008
104 0.536526  0.307973
105 1.04483  0.305457
106 2.34718  0.310625
107 2.14768  0.314866
108 0.856807  0.310519
109 0.708414  0.304508
110 0.600062  0.297097
111 1.61057  0.298714
112 2.39609  0.303849
113 1.99266  0.307261
114 0.681536  0.301203
115 0.665643  0.295045
116 0.437508  0.285375
117 0.737801  0.280337
118 2.23962  0.284794
119 2.5107  0.290137
120 2.07519  0.293803
121 0.708606  0.288528
122 0.677821  0.282975
123 0.606122  0.276604
124 1.87931  0.279461
125 2.5868  0.284829
126 2.50071  0.289843
127 1.82569  0.2923
128 0.637868  0.286504
129 0.608284  0.28043
130 1.10566  0.279045
131 2.47972  0.283847
132 2.54354  0.288769
133 1.97879  0.29173
134 0.639018  0.286211
135 0.600841  0.280317
136 0.417041  0.271825
137 0.810593  0.268308
138 2.15343  0.271922
139 1.034  0.270207
140 0.779187  0.266494
141 1.41813  0.267082
142 2.52713  0.27173
143 2.46592  0.276141
144 1.46213  0.276862
145 0.662968  0.272118
146 0.492224  0.265399
147 0.480115  0.258602
148 1.55232  0.259826
149 2.42211  0.26402
150 1.668  0.26567
151 0.655076  0.26111
152 0.609924  0.256139
153 1.41267  0.256723
154 2.54654  0.261126
155 2.58675  0.265573
156 2.2991  0.269207
157 1.03576  0.267716
158 0.70965  0.263851
159 0.779474  0.260624
160 2.10203  0.263639
161 2.60052  0.267937
162 2.60541  0.272194
163 2.48219  0.276102
164 1.77017  0.277901
165 0.642328  0.273534
166 0.619938  0.269006
167 1.27858  0.268866
168 2.51855  0.272764
169 2.60459  0.276814
170 2.44921  0.280455
171 1.57937  0.281488
172 0.658336  0.277421
173 0.575678  0.272625
174 1.25626  0.27237
175 2.49919  0.276047
176 2.60158  0.279911
177 2.57839  0.283681
178 2.39911  0.287004
179 1.46653  0.287539
180 0.667517  0.283696
181 0.561938  0.278945
182 1.2136  0.278476
183 2.44224  0.281833
184 2.40609  0.285073
185 1.62713  0.286164
186 0.656783  0.282365
187 0.666197  0.278683
188 1.5823  0.279642
189 2.48126  0.28297
190 2.37561  0.286035
191 1.53109  0.286768
192 0.666563  0.283162
193 0.657869  0.279525
194 1.6099  0.280538
195 2.43541  0.283664
196 2.1453  0.286111
197 0.873581  0.283973
198 0.707429  0.280791
199 0.54762  0.276354
200 1.32542  0.276381
201 2.29626  0.279141
202 1.78474  0.280627
203 0.643585  0.277074
204 0.692758  0.273916
205 1.401  0.274225
206 2.47694  0.277297
207 2.48607  0.280357
208 2.03637  0.282428
209 0.694441  0.279332
210 0.669414  0.27609
211 0.46624  0.271165
