1 1.41421  0.346574
2 0.872864  0.105299
3 0.825695  0.00635613
4 1.49158  0.104726
5 0.969941  0.0776766
6 0.71048  0.00776137
7 1.52978  0.0673845
8 1.06467  0.066795
9 0.648105  0.0111841
10 1.50274  0.0507945
11 1.15557  0.059322
12 0.63389  0.0163886
13 1.39734  0.040864
14 1.24136  0.0533886
15 0.66078  0.0222071
16 1.2367  0.0340968
17 1.32012  0.0484277
18 0.717779  0.0273154
19 1.06505  0.0291948
20 1.38933  0.044176
21 0.792946  0.0310248
22 0.914242  0.0255391
23 1.44598  0.0404629
24 0.876661  0.0332921
25 0.795365  0.0228023
26 1.48583  0.0371552
27 0.962746  0.0343729
28 0.708748  0.0208505
29 1.50154  0.0341485
30 1.04798  0.0345723
31 0.652915  0.0197052
32 1.48152  0.0313728
33 1.13091  0.0341501
34 0.62781  0.019454
35 1.41405  0.0287969
36 1.2106  0.0333058
37 0.633707  0.0200767
38 1.29868  0.026426
39 1.2856  0.0321902
40 0.668518  0.0213181
41 1.15376  0.0242866
42 1.35358  0.0309167
43 0.72661  0.0227706
44 1.00674  0.0224059
45 1.41149  0.0295667
46 0.800233  0.0240793
47 0.877912  0.0207966
48 1.45606  0.0281911
49 0.88192  0.0250514
50 0.775312  0.0194605
51 1.48363  0.0268142
52 0.966113  0.0256355
53 0.699595  0.0184112
54 1.48895  0.0254419
55 1.04953  0.0258584
56 0.649743  0.017697
57 1.46401  0.0240739
58 1.13061  0.0257753
59 0.625842  0.0173951
60 1.40016  0.022715
61 1.20846  0.0254467
62 0.628802  0.0175534
63 1.29546  0.0213838
64 1.28187  0.0249297
65 0.658262  0.018113
66 1.16192  0.0201124
67 1.34866  0.0242765
68 0.710846  0.0189004
69 1.02173  0.018938
70 1.40575  0.0235328
71 0.780441  0.0197098
72 0.894734  0.0178912
73 1.44974  0.0227336
74 0.860051  0.0203891
75 0.790987  0.0169909
76 1.47726  0.0219014
77 0.943686  0.0208642
78 0.71258  0.0162523
79 1.48433  0.0210461
80 1.02733  0.0211201
81 0.658641  0.0157041
82 1.46512  0.0201703
83 1.10885  0.0211722
84 0.628745  0.015396
85 1.4123  0.0192762
86 1.18724  0.0210478
