84 9.37387  3.85188e-08 6.79743e-09 0.907833 1e-06
85 9.47297  3.8724e-08 6.83364e-09 0.907833 1e-06
86 9.57207  3.89281e-08 6.86967e-09 0.907833 1e-06
87 9.67117  3.91312e-08 6.90551e-09 0.907833 1e-06
88 9.77027  3.93332e-08 6.94116e-09 0.907833 1e-06
89 9.86937  3.95342e-08 6.97663e-09 0.907833 1e-06
90 9.96847  3.97342e-08 7.01192e-09 0.907833 1e-06
91 10.0676  3.99332e-08 7.04703e-09 0.907833 1e-06
92 10.1667  4.01312e-08 7.08197e-09 0.907833 1e-06
93 10.2658  4.03282e-08 7.11674e-09 0.907833 1e-06
94 10.3649  4.05243e-08 7.15134e-09 0.907833 1e-06
95 10.464  4.07194e-08 7.18577e-09 0.907833 1e-06
96 10.5631  4.09136e-08 7.22004e-09 0.907833 1e-06
97 10.6622  4.11068e-08 7.25415e-09 0.907833 1e-06
98 10.7613  4.12992e-08 7.28809e-09 0.907833 1e-06
99 10.8604  4.14907e-08 7.32188e-09 0.907833 1e-06
100 10.9595  4.16813e-08 7.35552e-09 0.907833 1e-06
101 11.0586  4.1871e-08 7.389e-09 0.907833 1e-06
102 11.1577  4.20599e-08 7.42233e-09 0.907833 1e-06
103 11.2568  4.22479e-08 7.45551e-09 0.907833 1e-06
104 11.3559  4.24351e-08 7.48855e-09 0.898505 1e-06
105 11.455  4.26215e-08 7.52144e-09 0.850883 1e-06
106 11.5541  4.2807e-08 7.55418e-09 0.802384 1e-06
107 11.6532  4.29918e-08 7.58679e-09 0.753458 1e-06
108 11.7523  4.31758e-08 7.61925e-09 0.704566 1e-06
109 11.8514  4.3359e-08 7.65158e-09 0.656156 1e-06
110 11.9505  4.35414e-08 7.68377e-09 0.608653 1e-06
111 12.0495  4.3723e-08 7.71583e-09 0.562446 1e-06
112 12.1486  4.39039e-08 7.74775e-09 0.517873 1e-06
113 12.2477  4.40841e-08 7.77955e-09 0.475219 1e-06
114 12.3468  4.42635e-08 7.81121e-09 0.434711 1e-06
115 12.4459  4.44422e-08 7.84275e-09 0.396514 1e-06
116 12.545  4.46202e-08 7.87416e-09 0.360737 1e-06
117 12.6441  4.47975e-08 7.90544e-09 0.327433 1e-06
118 12.7432  4.49741e-08 7.9366e-09 0.29661 1e-06
119 12.8423  4.515e-08 7.96765e-09 0.268233 1e-06
120 12.9414  4.53252e-08 7.99856e-09 0.242236 1e-06
121 13.0405  4.54997e-08 8.02937e-09 0.218524 1e-06
122 13.1396  4.56736e-08 8.06005e-09 0.196983 1e-06
