0.1 0.000314669 979.968
0.114915 0.000295007 891.954
0.12983 0.000277558 820.674
0.144745 0.000262866 762.606
0.15966 0.000250285 714.206
0.174575 0.000239353 673.111
0.189489 0.000229738 637.69
0.204404 0.000221197 606.776
0.219319 0.000213542 579.508
0.234234 0.000206631 555.239
0.249149 0.00020035 533.469
0.264064 0.000194609 513.807
0.278979 0.000189335 495.942
0.293894 0.000184468 479.622
0.308809 0.000179958 464.643
0.323724 0.000175763 450.835
0.338639 0.000171848 438.056
0.353554 0.000168184 426.189
0.368468 0.000164745 415.133
0.383383 0.000161508 404.801
0.398298 0.000158455 395.12
0.413213 0.000155569 386.027
0.428128 0.000152835 377.465
0.443043 0.000150241 369.386
0.457958 0.000147774 361.748
0.472873 0.000145424 354.513
0.487788 0.000143184 347.648
0.502703 0.000141044 341.123
0.517618 0.000138997 334.912
0.532533 0.000137036 328.991
0.547447 0.000135156 323.338
0.562362 0.000133352 317.936
0.577277 0.000131618 312.765
0.592192 0.00012995 307.811
0.607107 0.000128344 303.059
0.622022 0.000126796 298.497
0.636937 0.000125302 294.112
0.651852 0.00012386 289.893
0.666767 0.000122467 285.831
0.681682 0.00012112 281.916
0.696597 0.000119816 278.14
0.711512 0.000118554 274.495
0.726426 0.00011733 270.974
0.741341 0.000116144 267.57
0.756256 0.000114993 264.277
0.771171 0.000113875 261.09
0.786086 0.00011279 258.002
0.801001 0.000111735 255.01
0.815916 0.000110709 252.108
0.830831 0.000109711 249.292
0.845746 0.000108739 246.557
0.860661 0.000107793 243.902
0.875576 0.000106871 241.32
0.89049 0.000105972 238.81
0.905405 0.000105095 236.368
0.92032 0.00010424 233.992
0.935235 0.000103406 231.678
0.95015 0.000102591 229.423
0.965065 0.000101795 227.227
0.97998 0.000101017 225.085
0.994895 0.000100257 222.996
1.00981 9.9514e-05 220.958
1.02472 9.87872e-05 218.968
1.03964 9.8076e-05 217.026
1.05455 9.73799e-05 215.129
1.06947 9.66985e-05 213.275
1.08438 9.60312e-05 211.463
1.0993 9.53775e-05 209.692
1.11421 9.4737e-05 207.96
1.12913 9.41092e-05 206.265
1.14404 9.34937e-05 204.607
1.15896 9.28901e-05 202.983
1.17387 9.22981e-05 201.394
1.18879 9.17173e-05 199.837
1.2037 9.11473e-05 198.312
1.21862 9.05878e-05 196.817
1.23353 9.00384e-05 195.353
1.24845 8.9499e-05 193.917
1.26336 8.89691e-05 192.509
1.27828 8.84485e-05 191.127
1.29319 8.7937e-05 189.772
1.30811 8.74342e-05 188.442
1.32302 8.694e-05 187.137
1.33794 8.6454e-05 185.856
1.35285 8.59761e-05 184.598
1.36777 8.5506e-05 183.362
1.38268 8.50436e-05 182.148
1.3976 8.45886e-05 180.956
1.41251 8.41408e-05 179.784
1.42743 8.37001e-05 178.632
1.44234 8.32662e-05 177.499
1.45726 8.28389e-05 176.386
1.47217 8.24182e-05 175.291
1.48709 8.20039e-05 174.214
1.502 8.15957e-05 173.154
1.51692 8.11935e-05 172.111
1.53183 8.07972e-05 171.085
1.54675 8.04067e-05 170.074
1.56166 8.00217e-05 169.079
1.57658 7.96422e-05 168.099
1.59149 7.9268e-05 167.134
1.60641 7.8899e-05 166.182
1.62132 7.8535e-05 165.244
1.63624 7.81759e-05 164.318
1.65115 7.78216e-05 163.403
1.66607 7.74719e-05 162.5
1.68098 7.71267e-05 161.606
1.6959 7.67858e-05 160.72
1.71081 7.6449e-05 159.841
1.72573 7.61161e-05 158.966
1.74064 7.57868e-05 158.091
1.75556 7.54609e-05 157.214
1.77047 7.51381e-05 156.329
1.78539 7.48179e-05 155.428
1.8003 7.45e-05 154.505
1.81522 7.41838e-05 153.547
1.83013 7.38689e-05 152.54
1.84505 7.35551e-05 151.464
1.85996 7.32421e-05 150.297
1.87487 7.29304e-05 149.008
1.88979 7.26214e-05 147.561
1.9047 7.23173e-05 145.913
1.91962 7.20218e-05 144.013
1.93453 7.17396e-05 141.805
1.94945 7.14754e-05 139.23
1.96436 7.12322e-05 136.231
1.97928 7.10092e-05 132.76
1.99419 7.08008e-05 128.789
2.00911 7.05972e-05 124.319
2.02402 7.03877e-05 119.388
2.03894 7.01642e-05 114.077
2.05385 6.99241e-05 108.5
2.06877 6.96696e-05 102.791
2.08368 6.94061e-05 97.0866
2.0986 6.91393e-05 91.5134
2.11351 6.88739e-05 86.1789
2.12843 6.86126e-05 81.1679
2.14334 6.83569e-05 76.5428
2.15826 6.8107e-05 72.3452
2.17317 6.78627e-05 68.5979
2.18809 6.76234e-05 65.3066
2.203 6.73884e-05 62.4615
2.21792 6.71574e-05 60.0393
2.23283 6.69298e-05 58.005
2.24775 6.67054e-05 56.3163
2.26266 6.64837e-05 54.9261
2.27758 6.62646e-05 53.7873
2.29249 6.60479e-05 52.8551
2.30741 6.58336e-05 52.0891
2.32232 6.56214e-05 51.455
2.33724 6.54115e-05 50.9237
2.35215 6.52035e-05 50.4722
2.36707 6.49976e-05 50.082
2.38198 6.47937e-05 49.7387
2.3969 6.45917e-05 49.4311
2.41181 6.43916e-05 49.151
2.42673 6.41934e-05 48.8918
2.44164 6.3997e-05 48.6489
2.45656 6.38024e-05 48.4185
2.47147 6.36096e-05 48.1979
2.48639 6.34185e-05 47.9851
2.5013 6.32291e-05 47.7786
2.51622 6.30414e-05 47.5773
2.53113 6.28554e-05 47.3803
2.54605 6.2671e-05 47.1869
2.56096 6.24883e-05 46.9968
2.57588 6.23071e-05 46.8094
2.59079 6.21275e-05 46.6246
2.60571 6.19494e-05 46.4421
2.62062 6.17729e-05 46.2618
